Model,Accuracy,AUC
LightGBM,0.8667329686723023,0.9248774752180644
CatBoost,0.8655726835736781,0.924379426710094
XGBoost,0.8640808884468755,0.9233237460771058
Gradient Boosting,0.8622575832918946,0.9221840900134332
Random Forest,0.8606000331510029,0.9132858535415591
Logistic Regression,0.817503729487817,0.8500254644656826
